window_start,week,mtf7w2,mwwcn6,lms8m4,dsdxd8,wgocn,jdf5g4,dtqb7d,habc8,ngtp8b,kedgm9,kab5zb,jfk535,mmvd,hnldm2,jdk88,ajdqnf,nm8c7,jmd5h8,anfz9,oro26b,kdcn,krh5f5,tah5z2,jlkm94,nhm2p3,tlgdq9,lpnb79,tjdpzd,wahbf,jrrgxf,zws2p8,ajb9b3,elnfh,pt7td,hmnhx4,mdvw5,jahq76,tcdzb7,jac345,mmg9n6,tkbn4,hemmb2,dlokv6,bay6g7,jlgwx,pecxc9,rrg3md,mjpg95,njd5zf,jhgn9,jkn7f,kah89f,amsh7,bpc42
1359982800,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,17.410714285714285,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6060.119137479872,0.001,6103.89250901752,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3067.7083333333335,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,41.35338345864661,0.001,0.001,1638.357469512195
1359983100,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16.18705035971223,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8392.079399393395,0.001,1611.63576007326,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3676.1280518563353,0.001,0.001,0.001,0.001,0.001,0.001,30.585106382978722,0.001,0.001,18.429487179487182,0.001,0.001,6007.8125,2502.9288872057086
1359983400,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.957446808510635,0.001,0.001,0.001,0.001,0.001,3562.5,0.001,88.14658197641775,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8145.703125,0.001,0.001,0.001,65.32579787234043,0.001,0.001,0.001,0.001,0.001,0.001,89.09026739744228,0.001,7125.0,4039.573561966344
1359983700,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1781.8638392857142,0.001,187.5,0.001,0.001,0.001,0.001,0.001,0.001,11.421783625730994,0.001,0.001,0.001,3279.761904761905,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7125.0,1505.2389455386651
1359984000,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3562.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4599.26157244507,0.001,0.001,0.001,101.72872340425532,0.001,0.001,220.73863636363637,0.001,0.001,0.001,763.3309243164609,0.001,61891.3986499799,1224.3981979919479
1359984300,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16.07142857142857,0.001,0.001,0.001,0.001,0.001,7125.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3267.857142857143,0.001,0.001,0.001,0.001,0.001,0.001,39.893617021276604,62490.57404891304,0.001,0.001,0.001,0.001,7125.0,6047.398325358851
1359984600,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2423.908624620061,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3599.6014030612246,0.001,1107.6140873015872,0.001,0.001,0.001,0.001,13969.266343390806,0.001,0.001,0.001,731.7093685300207,0.001,4226.5625,1421.6518271797572
1359984900,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2946.459441489362,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2871.6150873623396,0.001,583.3333333333334,0.001,0.001,0.001,0.001,1317.7083333333335,0.001,0.001,70.3125,0.001,0.001,3562.5,746.5277777777777
1359985200,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.957446808510635,0.001,0.001,0.001,0.001,0.001,2866.717634740407,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3719.266826923077,0.001,1087.019751082251,0.001,0.001,0.001,0.001,0.001,7125.0,0.001,0.001,339.92572047231096,0.001,3192.504091653028,4308.705646205646
1359985500,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2423.908624620061,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,974.4318181818181,0.001,963.7266095374932,0.001,0.001,0.001,0.001,0.001,3562.5,0.001,73.80319148936171,0.001,4514.33956347217,2946.459441489362,1647.3905906637065
1359985800,Week1,0.001,0.001,9.593465045592703,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6007.8125,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2513.1135318671077,0.001,1080.9134579160293,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1488.9541170003354,4423.839107115991,0.001,3239.9572887082018
1359986100,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,39.893617021276604,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.957446808510635,0.001,0.001,0.001,0.001,0.001,7125.0,0.001,123.14523381294964,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3422.309027777778,0.001,1892.7283653846155,0.001,0.001,0.001,0.001,19.166666666666664,7125.0,0.001,0.001,0.001,9796.964705269229,2040.002542654616,1767.1977447606976
1359986400,Week1,0.001,0.001,16.874050151975684,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6007.8125,32661.23089053798,0.001,0.001,0.001,0.001,0.001,0.001,11.388483965014574,0.001,0.001,0.001,0.001,2034.5552884615386,0.001,1047.873590225564,0.001,0.001,0.001,0.001,32.608695652173914,0.001,0.001,73.80319148936171,1529.8425662878788,178.44202898550725,6007.8125,3089.4104415816655
1359986700,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,45946.41519782978,0.001,0.001,0.001,0.001,13099.375,40797.36019475019,10931.641274917709,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4538.387130230881,0.001,978.1021062271063,0.001,0.001,0.001,0.001,0.001,26420.72504349332,0.001,0.001,1988.7276785714287,169.73079004329006,7125.0,1759.5444223355169
1359987000,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5220.4723318009765,0.001,0.001,0.001,0.001,4951.794060092315,0.001,6682.82115211688,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5016.318215782684,0.001,13004.743435494767,0.001,0.001,0.001,0.001,0.001,0.001,0.001,76.29654255319149,1411.8817739251665,0.001,4226.5625,2351.5770501740326
1359987300,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6828.734485815603,0.001,0.001,0.001,0.001,3853.3615564351585,4134.864462144817,3126.502018010452,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2941.121031746032,0.001,1418.0410879629628,0.001,0.001,0.001,0.001,0.001,7125.0,0.001,67.95562709966407,1204.9830566696376,0.001,2593.75,3872.5907973638264
1359987600,Week1,0.001,0.001,17.09408646908647,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2497.3512845729956,214180.83495676392,3845.8259306159694,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,21965.45794125187,0.001,830.4291474654377,0.001,0.001,0.001,0.001,0.001,0.001,0.001,70.3125,2801.697858424302,0.001,0.001,2316.4036952559422
1359987900,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2375.0,0.001,0.001,0.001,0.001,7125.0,4008.9847314687436,34119.44215049599,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6630.026475004372,0.001,799.3964947089947,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5807.390161381344,0.001,4226.5625,25062.136110896983
1359988200,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,17978.877280932866,0.001,0.001,0.001,3732.5720937049064,736.9309379856163,6145.22666593426,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,21533.116064553113,0.001,498.51027061476617,0.001,0.001,0.001,0.001,72639.9007326523,11450.217507565045,0.001,56.40514184397163,1182.1550445092173,0.001,32854.915893108264,1512.0624218279536
1359988500,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3562.5,386.57815627565446,2933.0520651223774,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,209.48391111930667,0.001,1384.7971870199692,0.001,0.001,0.001,32.608695652173914,0.001,0.001,0.001,0.001,99.75492357436804,0.001,24497.20592730976,1776.6546628510964
